time_since_TG_s,397_magnetic_lat_deg,397_magnetic_lon_deg,398_magnetic_lat_deg,398_magnetic_lon_deg
166.700000,66.86099243,-91.27555847,66.64902496,-90.66668701
166.750000,66.86145782,-91.27574158,66.64954376,-90.66665649
166.800000,66.86191559,-91.27593231,66.65007019,-90.66661835
166.850000,66.86237335,-91.27611542,66.65058899,-90.66658783
166.900000,66.86283112,-91.27629852,66.65111542,-90.66655731
166.950000,66.86328888,-91.27648163,66.65163422,-90.66651917
167.000000,66.86374664,-91.27666473,66.65216064,-90.66648865
167.050000,66.86420441,-91.27684784,66.65267944,-90.66645813
167.100000,66.86466217,-91.27703094,66.65320587,-90.66641998
167.150000,66.86511993,-91.27721405,66.65372467,-90.66638947
167.200000,66.86557770,-91.27739716,66.65425110,-90.66635895
167.250000,66.86603546,-91.27758026,66.65476990,-90.66632080
167.300000,66.86650085,-91.27776337,66.65529633,-90.66629028
167.350000,66.86695862,-91.27795410,66.65581512,-90.66625214
167.400000,66.86741638,-91.27813721,66.65633392,-90.66622162
167.450000,66.86787415,-91.27832031,66.65686035,-90.66619110
167.500000,66.86833191,-91.27850342,66.65737915,-90.66615295
167.550000,66.86878967,-91.27868652,66.65790558,-90.66612244
167.600000,66.86924744,-91.27886963,66.65842438,-90.66609192
167.650000,66.86970520,-91.27905273,66.65894318,-90.66605377
167.700000,66.87016296,-91.27923584,66.65946960,-90.66602325
167.750000,66.87062073,-91.27941895,66.65998840,-90.66598511
167.800000,66.87107849,-91.27960968,66.66050720,-90.66595459
167.850000,66.87153625,-91.27979279,66.66103363,-90.66592407
167.900000,66.87199402,-91.27997589,66.66155243,-90.66588593
167.950000,66.87245178,-91.28015900,66.66207886,-90.66585541
168.000000,66.87290955,-91.28034210,66.66259766,-90.66581726
168.050000,66.87336731,-91.28052521,66.66311646,-90.66578674
168.100000,66.87382507,-91.28070831,66.66363525,-90.66575623
168.150000,66.87427521,-91.28089142,66.66416168,-90.66571808
168.200000,66.87473297,-91.28107452,66.66468048,-90.66568756
168.250000,66.87519073,-91.28126526,66.66519928,-90.66565704
168.300000,66.87564850,-91.28144836,66.66572571,-90.66561890
168.350000,66.87610626,-91.28163147,66.66624451,-90.66558838
168.400000,66.87656403,-91.28181458,66.66676331,-90.66555786
168.450000,66.87702179,-91.28199768,66.66728210,-90.66551971
168.500000,66.87747955,-91.28218079,66.66780853,-90.66548920
168.550000,66.87793732,-91.28236389,66.66832733,-90.66545105
168.600000,66.87839508,-91.28254700,66.66884613,-90.66542053
168.650000,66.87884521,-91.28273010,66.66936493,-90.66539001
168.700000,66.87930298,-91.28291321,66.66989136,-90.66535187
168.750000,66.87976074,-91.28310394,66.67041016,-90.66532135
168.800000,66.88021851,-91.28328705,66.67092896,-90.66528320
168.850000,66.88067627,-91.28347015,66.67144775,-90.66525269
168.900000,66.88113403,-91.28365326,66.67196655,-90.66522217
168.950000,66.88158417,-91.28383636,66.67249298,-90.66518402
169.000000,66.88204193,-91.28401947,66.67301178,-90.66515350
169.050000,66.88249969,-91.28420258,66.67353058,-90.66512299
169.100000,66.88295746,-91.28438568,66.67404938,-90.66508484
169.150000,66.88341522,-91.28456879,66.67456818,-90.66505432
169.200000,66.88386536,-91.28475952,66.67508698,-90.66501617
169.250000,66.88432312,-91.28494263,66.67560577,-90.66498566
169.300000,66.88478088,-91.28512573,66.67613220,-90.66495514
169.350000,66.88523865,-91.28530884,66.67665100,-90.66491699
169.400000,66.88568878,-91.28549194,66.67716980,-90.66488647
169.450000,66.88614655,-91.28567505,66.67768860,-90.66485596
169.500000,66.88660431,-91.28585815,66.67820740,-90.66481781
169.550000,66.88706207,-91.28604126,66.67872620,-90.66478729
169.600000,66.88751221,-91.28622437,66.67924500,-90.66474915
169.650000,66.88796997,-91.28640747,66.67976379,-90.66471863
169.700000,66.88842773,-91.28659821,66.68028259,-90.66468811
169.750000,66.88888550,-91.28678131,66.68080139,-90.66464996
169.800000,66.88933563,-91.28696442,66.68132019,-90.66461945
169.850000,66.88979340,-91.28714752,66.68183899,-90.66458130
169.900000,66.89025116,-91.28733063,66.68235779,-90.66455078
169.950000,66.89070129,-91.28751373,66.68287659,-90.66452026
170.000000,66.89115906,-91.28769684,66.68339539,-90.66448212
170.050000,66.89161682,-91.28787994,66.68391418,-90.66445160
170.100000,66.89206696,-91.28806305,66.68443298,-90.66442108
